seed,trial,difficulty,clues,empty_cells,algorithm,solved,time_repeats,time_ms,time_s,nodes,assignments,backtracks
440,1,Easy,40,41,Naive Backtracking,yes,21,0.094166,9.4166e-05,53,52,11
440,1,Easy,40,41,BT + Forward Checking,yes,21,0.479042,0.000479042,44,49,8
440,1,Easy,40,41,CSP + MRV (Project),yes,21,0.14125,0.00014125,42,41,0
440,1,Easy,40,41,CSP + MRV + LCV,yes,21,0.250708,0.000250708,42,41,0
440,2,Easy,40,41,Naive Backtracking,yes,21,1.39925,0.00139925,883,882,841
440,2,Easy,40,41,BT + Forward Checking,yes,21,3.67925,0.00367925,232,357,316
440,2,Easy,40,41,CSP + MRV (Project),yes,21,0.810208,0.000810208,42,41,0
440,2,Easy,40,41,CSP + MRV + LCV,yes,21,0.924459,0.000924459,42,41,0
440,3,Easy,40,41,Naive Backtracking,yes,21,0.26925,0.00026925,172,171,130
440,3,Easy,40,41,BT + Forward Checking,yes,21,0.461,0.000461,42,45,4
440,3,Easy,40,41,CSP + MRV (Project),yes,21,0.507709,0.000507709,42,41,0
440,3,Easy,40,41,CSP + MRV + LCV,yes,21,0.620125,0.000620125,42,41,0
440,4,Easy,40,41,Naive Backtracking,yes,21,0.172583,0.000172583,112,111,70
440,4,Easy,40,41,BT + Forward Checking,yes,21,0.874166,0.000874166,67,83,42
440,4,Easy,40,41,CSP + MRV (Project),yes,21,0.275125,0.000275125,42,41,0
440,4,Easy,40,41,CSP + MRV + LCV,yes,21,0.392375,0.000392375,42,41,0
440,5,Easy,40,41,Naive Backtracking,yes,21,0.199375,0.000199375,121,120,79
440,5,Easy,40,41,BT + Forward Checking,yes,21,0.96125,0.00096125,87,100,59
440,5,Easy,40,41,CSP + MRV (Project),yes,21,0.510958,0.000510958,42,41,0
440,5,Easy,40,41,CSP + MRV + LCV,yes,21,0.623666,0.000623666,42,41,0
440,6,Easy,40,41,Naive Backtracking,yes,21,0.195625,0.000195625,126,125,84
440,6,Easy,40,41,BT + Forward Checking,yes,21,0.784,0.000784,58,71,30
440,6,Easy,40,41,CSP + MRV (Project),yes,21,0.739084,0.000739084,42,41,0
440,6,Easy,40,41,CSP + MRV + LCV,yes,21,0.86,0.00086,42,41,0
440,7,Easy,40,41,Naive Backtracking,yes,21,0.120416,0.000120416,75,74,33
440,7,Easy,40,41,BT + Forward Checking,yes,21,0.574709,0.000574709,51,60,19
440,7,Easy,40,41,CSP + MRV (Project),yes,21,0.217167,0.000217167,42,41,0
440,7,Easy,40,41,CSP + MRV + LCV,yes,21,0.325958,0.000325958,42,41,0
440,8,Easy,40,41,Naive Backtracking,yes,21,0.169417,0.000169417,104,103,62
440,8,Easy,40,41,BT + Forward Checking,yes,21,0.671458,0.000671458,58,69,28
440,8,Easy,40,41,CSP + MRV (Project),yes,21,0.222291,0.000222291,42,41,0
440,8,Easy,40,41,CSP + MRV + LCV,yes,21,0.331125,0.000331125,42,41,0
440,9,Easy,40,41,Naive Backtracking,yes,21,0.2355,0.0002355,136,135,94
440,9,Easy,40,41,BT + Forward Checking,yes,21,0.64025,0.00064025,56,69,28
440,9,Easy,40,41,CSP + MRV (Project),yes,21,0.278291,0.000278291,42,41,0
440,9,Easy,40,41,CSP + MRV + LCV,yes,21,0.394375,0.000394375,42,41,0
440,10,Easy,40,41,Naive Backtracking,yes,21,0.134541,0.000134541,80,79,38
440,10,Easy,40,41,BT + Forward Checking,yes,21,0.501708,0.000501708,46,52,11
440,10,Easy,40,41,CSP + MRV (Project),yes,21,0.193875,0.000193875,42,41,0
440,10,Easy,40,41,CSP + MRV + LCV,yes,21,0.303167,0.000303167,42,41,0
440,1,Medium,32,49,Naive Backtracking,yes,21,0.397916,0.000397916,246,245,196
440,1,Medium,32,49,BT + Forward Checking,yes,21,1.53025,0.00153025,94,127,78
440,1,Medium,32,49,CSP + MRV (Project),yes,21,0.91125,0.00091125,50,49,0
440,1,Medium,32,49,CSP + MRV + LCV,yes,21,1.072792,0.001072792,50,49,0
440,2,Medium,32,49,Naive Backtracking,yes,21,0.417084,0.000417084,232,231,182
440,2,Medium,32,49,BT + Forward Checking,yes,21,1.015041,0.001015041,64,86,37
440,2,Medium,32,49,CSP + MRV (Project),yes,21,0.892292,0.000892292,60,59,10
440,2,Medium,32,49,CSP + MRV + LCV,yes,21,0.980958,0.000980958,50,49,0
440,3,Medium,32,49,Naive Backtracking,yes,21,1.995375,0.001995375,1238,1237,1188
440,3,Medium,32,49,BT + Forward Checking,yes,21,9.133167,0.009133167,604,831,782
440,3,Medium,32,49,CSP + MRV (Project),yes,21,1.81475,0.00181475,160,159,110
440,3,Medium,32,49,CSP + MRV + LCV,yes,21,1.056875,0.001056875,50,49,0
440,4,Medium,32,49,Naive Backtracking,yes,21,1.831083,0.001831083,1060,1059,1010
440,4,Medium,32,49,BT + Forward Checking,yes,21,6.403792,0.006403792,401,585,536
440,4,Medium,32,49,CSP + MRV (Project),yes,21,0.489542,0.000489542,50,49,0
440,4,Medium,32,49,CSP + MRV + LCV,yes,21,0.63575,0.00063575,50,49,0
440,5,Medium,32,49,Naive Backtracking,yes,21,2.448083,0.002448083,1527,1526,1477
440,5,Medium,32,49,BT + Forward Checking,yes,21,8.122166,0.008122166,380,633,584
440,5,Medium,32,49,CSP + MRV (Project),yes,21,0.786125,0.000786125,50,49,0
440,5,Medium,32,49,CSP + MRV + LCV,yes,21,0.951417,0.000951417,50,49,0
440,6,Medium,32,49,Naive Backtracking,yes,21,1.569708,0.001569708,903,902,853
440,6,Medium,32,49,BT + Forward Checking,yes,21,5.373167,0.005373167,317,452,403
440,6,Medium,32,49,CSP + MRV (Project),yes,21,0.9705,0.0009705,50,49,0
440,6,Medium,32,49,CSP + MRV + LCV,yes,21,1.125166,0.001125166,50,49,0
440,7,Medium,32,49,Naive Backtracking,yes,21,0.975333,0.000975333,560,559,510
440,7,Medium,32,49,BT + Forward Checking,yes,21,3.203,0.003203,207,270,221
440,7,Medium,32,49,CSP + MRV (Project),yes,21,0.777375,0.000777375,50,49,0
440,7,Medium,32,49,CSP + MRV + LCV,yes,21,0.9315,0.0009315,50,49,0
440,8,Medium,32,49,Naive Backtracking,yes,21,0.183375,0.000183375,101,100,51
